feedback_id,date,persona,portfolio_units,source,theme,product_area,linked_opportunity,pain_score,urgency,quote_summary
FB-001,2026-01-14,Portfolio analyst,6400,support thread,AI follow-up questions,AI insights,OPP-008,8,high,Portfolio analyst wants to ask why an anomaly appeared without exporting data.
FB-002,2026-04-22,Revenue manager,36000,beta feedback,onboarding data quality,Implementation readiness,OPP-006,7,medium,Revenue manager needs stale feed issues surfaced before first pricing review.
FB-003,2026-04-09,Revenue manager,21000,support thread,concession guardrails,Amenities and specials,OPP-003,7,medium,Revenue manager wants a safer way to compare concessions against leasing velocity.
FB-004,2026-03-01,Regional operator,36000,beta feedback,comp transparency,Public market intelligence,OPP-002,10,high,Regional operator wants clearer reasons behind comp selection and exclusions.
FB-005,2026-04-20,Regional operator,21000,beta feedback,renewal confidence,Lease and renewal pricing,OPP-001,8,high,Regional operator needs earlier renewal risk context before recommending price moves.
FB-006,2026-02-18,Revenue manager,14500,CS note,portfolio scenario planning,Reporting,OPP-005,7,medium,Revenue manager needs to test portfolio goals before changing property strategy.
FB-007,2026-04-11,Revenue manager,36000,customer interview,concession guardrails,Amenities and specials,OPP-003,6,medium,Revenue manager wants a safer way to compare concessions against leasing velocity.
FB-008,2026-04-06,Revenue manager,3200,sales call,comp transparency,Public market intelligence,OPP-002,9,high,Revenue manager wants clearer reasons behind comp selection and exclusions.
FB-009,2026-04-15,Revenue manager,3200,sales call,renewal confidence,Lease and renewal pricing,OPP-001,8,high,Revenue manager needs earlier renewal risk context before recommending price moves.
FB-010,2026-03-03,Revenue manager,36000,beta feedback,approval auditability,Security and privacy,OPP-007,6,medium,Revenue manager wants approvals and exceptions captured inside the workflow.
FB-011,2026-03-08,Revenue manager,6400,support thread,onboarding data quality,Implementation readiness,OPP-006,8,high,Revenue manager needs stale feed issues surfaced before first pricing review.
FB-012,2026-01-27,Regional operator,3200,beta feedback,renewal confidence,Lease and renewal pricing,OPP-001,9,high,Regional operator needs earlier renewal risk context before recommending price moves.
FB-013,2026-03-28,Asset manager,1800,sales call,comp transparency,Public market intelligence,OPP-002,8,high,Asset manager wants clearer reasons behind comp selection and exclusions.
FB-014,2026-04-05,Portfolio analyst,21000,customer interview,portfolio scenario planning,Reporting,OPP-005,6,medium,Portfolio analyst needs to test portfolio goals before changing property strategy.
FB-015,2026-01-08,Asset manager,6400,CS note,portfolio scenario planning,Reporting,OPP-005,7,medium,Asset manager needs to test portfolio goals before changing property strategy.
FB-016,2026-04-03,Regional operator,1800,customer interview,AI follow-up questions,AI insights,OPP-008,8,high,Regional operator wants to ask why an anomaly appeared without exporting data.
FB-017,2026-04-25,Asset manager,1800,customer interview,renewal confidence,Lease and renewal pricing,OPP-001,9,high,Asset manager needs earlier renewal risk context before recommending price moves.
FB-018,2026-03-05,Asset manager,21000,customer interview,approval auditability,Security and privacy,OPP-007,8,high,Asset manager wants approvals and exceptions captured inside the workflow.
